repository,commit_id,files_changed,lines_added,lines_deleted,total_changes,dependency_file_changed,test_file_changed,workflow_changed,source_file_changed,changed_files
spring-projects/spring-petclinic,39a503dff2d12ca6013884ade680c733c9c118df,1,2,2,4,0,0,0,1,src/main/java/org/springframework/samples/petclinic/owner/PetController.java
spring-projects/spring-petclinic,efd79411ebc74c8ab36b118fbc8880e561d7832a,1,2,2,4,0,0,0,1,src/main/java/org/springframework/samples/petclinic/owner/PetController.java
spring-projects/spring-petclinic,70b427cdadff4d8850b9e7ba7d2c9eefc38b41ec,1,1,1,2,0,0,0,1,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java
spring-projects/spring-petclinic,3b4538032370980e081892c40b8fec52d8733c3b,1,12,3,15,0,0,0,0,Jenkinsfile
spring-projects/spring-petclinic,edf4db28affcc4741c79850a3d95bc3f177b5ff9,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,edf4db28affcc4741c79850a3d95bc3f177b5ff9,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,edf4db28affcc4741c79850a3d95bc3f177b5ff9,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,0051bded3559384938633ab330e94bb33a3fa846,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,0051bded3559384938633ab330e94bb33a3fa846,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,0051bded3559384938633ab330e94bb33a3fa846,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,9e3065db463098734afe3b204539ef6e0b47cf89,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,9e3065db463098734afe3b204539ef6e0b47cf89,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,9e3065db463098734afe3b204539ef6e0b47cf89,5,7,7,14,0,1,0,1,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-projects/spring-petclinic,983a5dbfaee03622953ae8e270dd797eaaef1102,1,11,6,17,1,0,0,0,build.gradle
spring-projects/spring-petclinic,983a5dbfaee03622953ae8e270dd797eaaef1102,1,11,6,17,1,0,0,0,build.gradle
spring-projects/spring-petclinic,e9eb580f3abcf437d406f61b88fa4d6b6c28386c,1,2,1,3,1,0,0,0,pom.xml
spring-projects/spring-petclinic,e9eb580f3abcf437d406f61b88fa4d6b6c28386c,1,2,1,3,1,0,0,0,pom.xml
spring-projects/spring-petclinic,a0f7778a89e550693aa81040ac4e505669242ad3,1,2,1,3,1,0,0,0,pom.xml
spring-projects/spring-petclinic,a0f7778a89e550693aa81040ac4e505669242ad3,1,2,1,3,1,0,0,0,pom.xml
spring-projects/spring-petclinic,5940b6074173df19f1414848bdadb0858ff3ce3e,16,77,66,143,1,1,0,1,"pom.xml,src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,src/main/java/org/springframework/samples/petclinic/owner/PetController.java,src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,src/test/java/org/springframework/samples/petclinic/vet/VetTests.java"
spring-projects/spring-petclinic,5940b6074173df19f1414848bdadb0858ff3ce3e,16,77,66,143,1,1,0,1,"pom.xml,src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,src/main/java/org/springframework/samples/petclinic/owner/PetController.java,src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,src/test/java/org/springframework/samples/petclinic/vet/VetTests.java"
spring-projects/spring-petclinic,29174662fffa3b0a4a3e5b01f8dc1d2d47973f98,16,77,66,143,1,1,0,1,"pom.xml,src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,src/main/java/org/springframework/samples/petclinic/owner/PetController.java,src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,src/test/java/org/springframework/samples/petclinic/vet/VetTests.java"
spring-projects/spring-petclinic,29174662fffa3b0a4a3e5b01f8dc1d2d47973f98,16,77,66,143,1,1,0,1,"pom.xml,src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,src/main/java/org/springframework/samples/petclinic/owner/PetController.java,src/main/java/org/springframework/samples/petclinic/owner/PetTypeFormatter.java,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/PostgresIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetValidatorTests.java,src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/system/CrashControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,src/test/java/org/springframework/samples/petclinic/vet/VetTests.java"
spring-projects/spring-petclinic,e316074300de4761f7b100a21423525e8b8ecdc5,2,9,1,10,0,1,0,1,"src/main/resources/application.properties,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java"
spring-projects/spring-petclinic,e316074300de4761f7b100a21423525e8b8ecdc5,2,9,1,10,0,1,0,1,"src/main/resources/application.properties,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java"
spring-projects/spring-petclinic,29f698abb056a472f4bd9e5d5d276d7537691322,9,233,38,271,0,1,0,1,"src/main/java/org/springframework/samples/petclinic/owner/Owner.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerSearchResult.java,src/main/java/org/springframework/samples/petclinic/owner/Pet.java,src/main/java/org/springframework/samples/petclinic/owner/Visit.java,src/main/resources/templates/owners/ownersList.html,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java"
spring-projects/spring-petclinic,29f698abb056a472f4bd9e5d5d276d7537691322,9,233,38,271,0,1,0,1,"src/main/java/org/springframework/samples/petclinic/owner/Owner.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerSearchResult.java,src/main/java/org/springframework/samples/petclinic/owner/Pet.java,src/main/java/org/springframework/samples/petclinic/owner/Visit.java,src/main/resources/templates/owners/ownersList.html,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java"
spring-projects/spring-petclinic,a4fcf04c932031463dc7eb1ed9f1e05b402c13c0,1,1,1,2,0,1,0,1,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java
spring-projects/spring-petclinic,a4fcf04c932031463dc7eb1ed9f1e05b402c13c0,1,1,1,2,0,1,0,1,src/test/java/org/springframework/samples/petclinic/PetClinicIntegrationTests.java
spring-projects/spring-petclinic,c213887668938214fa0e8992a5d0457723cc84a6,4,103,1,104,0,1,0,1,"src/main/java/org/springframework/samples/petclinic/model/Person.java,src/main/java/org/springframework/samples/petclinic/system/HealthController.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/HealthControllerTests.java"
spring-projects/spring-petclinic,c213887668938214fa0e8992a5d0457723cc84a6,4,103,1,104,0,1,0,1,"src/main/java/org/springframework/samples/petclinic/model/Person.java,src/main/java/org/springframework/samples/petclinic/system/HealthController.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,src/test/java/org/springframework/samples/petclinic/system/HealthControllerTests.java"
spring-projects/spring-petclinic,1dfc6f1387267fae692fdfc59e3ac1befbfadb3a,2,84,0,84,0,0,0,0,"README.md,src/main/resources/application-postgresql.yml"
spring-projects/spring-petclinic,1dfc6f1387267fae692fdfc59e3ac1befbfadb3a,2,84,0,84,0,0,0,0,"README.md,src/main/resources/application-postgresql.yml"
spring-projects/spring-petclinic,50dcd425e3e2ea52342576943f531a3ff3553b1e,3,36,1,37,0,1,0,1,"src/main/java/org/springframework/samples/petclinic/owner/Owner.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerRepositoryTests.java"
spring-projects/spring-petclinic,50dcd425e3e2ea52342576943f531a3ff3553b1e,3,36,1,37,0,1,0,1,"src/main/java/org/springframework/samples/petclinic/owner/Owner.java,src/main/java/org/springframework/samples/petclinic/owner/OwnerRepository.java,src/test/java/org/springframework/samples/petclinic/owner/OwnerRepositoryTests.java"
spring-projects/spring-petclinic,14768e7dfe83f9dffb430cb97b24a4c4c3d8c839,1,51,0,51,0,0,0,0,src/main/resources/messages/messages_sk.properties
spring-projects/spring-petclinic,14768e7dfe83f9dffb430cb97b24a4c4c3d8c839,1,51,0,51,0,0,0,0,src/main/resources/messages/messages_sk.properties
spring-projects/spring-petclinic,ab1d5364a0a49d260b52bea2bfdfe804d8a36f7a,1,15,12,27,0,0,0,0,README.md
spring-projects/spring-petclinic,ab1d5364a0a49d260b52bea2bfdfe804d8a36f7a,1,15,12,27,0,0,0,0,README.md
spring-projects/spring-petclinic,987613eb4958f25ec3b137fd860cf915f516f0ec,1,2,2,4,0,0,0,0,README.md
spring-projects/spring-petclinic,987613eb4958f25ec3b137fd860cf915f516f0ec,1,2,2,4,0,0,0,0,README.md
spring-projects/spring-petclinic,fd4361b118931e07a7a1bde04750ec32a5fdb56e,5,8,7,15,0,0,0,1,"src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,src/main/java/org/springframework/samples/petclinic/model/Person.java,src/main/java/org/springframework/samples/petclinic/owner/Owner.java,src/main/java/org/springframework/samples/petclinic/owner/Pet.java,src/main/resources/application.properties"
spring-projects/spring-petclinic,fd4361b118931e07a7a1bde04750ec32a5fdb56e,5,8,7,15,0,0,0,1,"src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,src/main/java/org/springframework/samples/petclinic/model/Person.java,src/main/java/org/springframework/samples/petclinic/owner/Owner.java,src/main/java/org/springframework/samples/petclinic/owner/Pet.java,src/main/resources/application.properties"
spring-projects/spring-petclinic,c76c1a1d67126909e0a8f0b8a94d541f239fed30,5,8,7,15,0,0,0,1,"src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java,src/main/java/org/springframework/samples/petclinic/model/Person.java,src/main/java/org/springframework/samples/petclinic/owner/Owner.java,src/main/java/org/springframework/samples/petclinic/owner/Pet.java,src/main/resources/application.properties"
